content_id,author_id,title
134,2,Jemaah Umroh
135,76,"Pipa PDAM Bocor, Mohon Segera Di Tangani"
136,377,Status Pengiriman Pos Belum Diantar
137,2,Pelayanan Kesehatan Menggunakan BPJS Kesehatan
138,114,BAGAIMANA CARANYA IZIN USAHA
139,394,PJU MATI
140,17,Double Tagihan
141,115,Kebijakan Eksklusif PLN
142,17,Sertifikat Tanah Belum Keluar
143,28,Pemulihan Nama di BI
144,28,Air PALYJA Tidak Pernah Lagi Berjalan Normal
145,3,Jalan Rusak di Jl. Taman S. Parman
146,394,Berkas Sertifikat Tanah Hilang di BPN
147,115,perpanjang paspor di minta lampirkan sbkri
148,115,PENOLAKAN KLAIM LANGSUNG
149,410,Paspor 24 halaman untuk umroh
150,68,Dana Operasional Pengurus Raskin
151,126,Link Aktivasi Sulit Dibuka
152,126,Menonaktifkan Kepesertaan BPJS Mandiri karena Mendapatkan KIS
153,49,Pengembangan Situs Budaya Mandiangin
154,269,Pelayanan E-KTP Di Kel. Ciracas
155,462,"Sertifikat Tanah Belum Selesai, Melebihi Ketentuan Waktu Standar Pelayanan"
156,2,Apakan Bojonegoro Memiliki Perangkat Hukum Pengelolaan Pengaduan?
157,2,Permintaan Informasi Cara Mengakses Daftar Nama Penerima Sertifikasi Guru
158,27,Kelangkaan Gas LPG
159,2,Aspirasi Mengenai Pembangunan Nasional
160,119,Jalan Ambles Membahayakan Pengguna
161,2,Seleksi Tugas Belajar Kementerian Kesehatan
162,2,Usulan Pemindahan Ibu Kota Negara
163,2,STATUS PERMINTAAN KLAIM JHT
164,2,Drainase Tidak Berfungsi
165,2,Syarat Perijinan Mendirikan Toko
166,27,Mohon Memerdekakan Tempat Tinggal Saya
167,2,Identitas salah
168,2,Permintaan Informasi perihal Pelayanan Administrasi Penambahan Anggota Keluarga
169,278,Ketersediaan Vaksin Imunisasi
170,89,Pengaduan traffic light
171,27,Kenaikan Biaya Hidup Dasar Dokter di Daerah Timur
172,114,Pengaduan Gangguan Lingkungan
173,114,NOTIFIKASI EKLAIM
174,27,Pengaduan Database Warga Miskin
175,27,Nomor Telepon Kanim ULP Pondok Pinang Tidak Bisa dihubungi
176,102,Apakah bisa anak PNS dapat beasiswa ?
177,73,Pengaduan Lampu Jalan di Kyai Saleh
178,102,Mendaftar paspor online dengan status permohonan paspor baru
179,27,Kesulitan dalam Pembuatan Paspor 24 Halaman
180,25,Kapan Transparansi Tingkat Desa Mulai di Lakukan?
181,25,Permintaan Konfirmasi Keterhubungan Pemkab Cianjur dengan LAPOR
182,25,Kualitas Pelayanan Kesehatan di Kabupaten Jepara
183,25,Permintaan Informasi Biaya Pemecahan Sertifikat Tanah
184,25,"Akte Kelahiran Sudah Jadi, Paspor Online Tetap Lanjut?"
185,25,Pengurusan Izin Penyalur Alat Kesehatan Perlu Diperbaiki
186,25,Stok e-KTP Habis
187,25,"Indikasi Manipulasi Data KKS,KIP dan KIS oleh LSM Pospera"
188,25,Konfirmasi Perihal Paper Banking
189,103,Pembuatan Sertifikat Tanah di BPN Cianjur Tidak Kunjung Jadi
190,21,mohon tanggul segera diperbaiki
191,2,Gagal Konfirmasi Pembayaran Paspor Online
192,2,Pengurusan Roya Sertifikat Belum Selesai Sejak Mei 2016 di Kota Bandung
193,28,Gagal Memasukkan NTPN dalam Verifikasi Pembayaran Paspor Online
194,2,Informasi Pengurusan Akta Jual Beli Tanah
195,568,Ada Lubang di Jalan Lintas Pematangreba sekitar Hotel Rafana
196,27,Air PDAM di Kawasan perumda Keruh
197,27,Mohon Diperiksa Ijin Usaha di Daerah Hunian
198,2,Rumit dan Lamanya Proses Pembuatan IMB(Ijin Mendirikan Bangunan)
199,114,Lampu penerangan jalan tidak hidup dan jalan Rusak di Jalan Siak Kecamatan Mandau Kabupaten Bengkalis ( DURI )
200,114,"Perlu dilakukan penertiban PKL, parkir liar dan sampah liar terutama di Jl Seroja"
201,114,Pelayanan Kurang Memuaskan Wisata Ciwidey
202,505,Penertiban tower telekomunikasi belum berijin di atas toko roti hotel semesta Jl. KH Wahid Hasim Kranggan Semarang
203,14,Tolong PKL di depan Bank OCBC NISP Jl Brigjen Katamso ditertibkan
204,25,Masalah Perpanjangan Paspor
205,25,Beasiswa Pemkab Apa Sudah Ada Pengumumannya?
206,148,Kendala dalam Konfirmasi Pembayaran
207,115,Kendala Pembuatan Paspor Online
208,2,Error Permohonan Paspor Online
